Ver. 4 7 real time data, pi¹tek, 28 sierpieñ 2026 06:49:29
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
10312	804	0.410000	0.000000	4.720000	0.600000	0.420000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
10531	804	0.410000	0.000000	4.800000	0.600000	0.420000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
10734	815	0.410000	0.000000	4.730000	0.590000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
10953	797	0.410000	0.000000	4.730000	0.600000	0.410000	73.000000	16.000000	125	0.000000	0.000000	0.000000	0	0	0	
11172	799	0.410000	0.000000	4.760000	0.600000	0.430000	73.000000	16.000000	123	0.000000	0.000000	0.000000	0	0	0	
11359	806	0.410000	0.000000	4.690000	0.590000	0.420000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
11703	807	0.410000	0.000000	4.670000	0.610000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
11890	807	0.410000	0.000000	4.630000	0.610000	0.420000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
12109	804	0.410000	0.000000	4.730000	0.600000	0.420000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
12328	799	0.410000	0.000000	4.650000	0.600000	0.430000	73.000000	16.000000	123	0.000000	0.000000	0.000000	0	0	0	
12578	789	0.410000	0.000000	4.750000	0.600000	0.420000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
12890	799	0.410000	0.000000	4.650000	0.610000	0.420000	73.000000	16.000000	125	0.000000	0.000000	0.000000	0	0	0	
13140	801	0.410000	0.000000	4.750000	0.610000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
13344	801	0.410000	0.000000	4.720000	0.610000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
13578	796	0.410000	0.000000	4.690000	0.600000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
13812	802	0.410000	0.000000	4.710000	0.600000	0.420000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
14000	791	0.410000	0.000000	4.730000	0.600000	0.420000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
14187	801	0.410000	0.000000	4.690000	0.600000	0.420000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
14422	800	0.410000	0.000000	4.760000	0.610000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
14640	800	0.410000	0.000000	4.680000	0.610000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
14844	800	0.410000	0.000000	4.720000	0.600000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
15047	806	0.410000	0.000000	4.690000	0.610000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
15234	804	0.410000	0.000000	4.640000	0.610000	0.410000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
15453	792	0.410000	0.000000	4.710000	0.610000	0.410000	73.000000	16.000000	125	0.000000	0.000000	0.000000	0	0	0	
15656	793	0.410000	0.000000	4.650000	0.600000	0.420000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
15859	795	0.410000	0.000000	4.710000	0.600000	0.420000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
16156	799	0.410000	0.000000	4.650000	0.590000	0.430000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
16359	801	0.410000	0.000000	4.740000	0.590000	0.430000	73.000000	16.000000	124	0.000000	0.000000	0.000000	0	0	0	
