Ver. 4 7 real time data, pi¹tek, 11 wrzesieñ 2026 16:31:45
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
9937	1183	0.220000	9.700000	7.260000	1.060000	0.560000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
10109	989	0.220000	2.400000	0.870000	1.060000	0.630000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
10297	891	0.220000	2.490000	1.000000	1.050000	0.710000	80.000000	48.000000	7	0.000000	0.000000	0.000000	0	0	0	
10484	1145	0.220000	11.460000	9.340000	1.050000	0.660000	80.000000	48.000000	10	0.000000	0.000000	0.000000	0	0	0	
10672	1418	0.220000	10.780000	8.210000	1.050000	0.610000	80.000000	48.000000	10	0.000000	0.000000	0.000000	0	0	0	
10859	1447	0.220000	10.470000	7.880000	1.060000	0.590000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
11062	1323	0.220000	10.780000	8.120000	1.050000	0.620000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
11250	1134	0.220000	2.540000	0.820000	1.050000	0.690000	80.000000	48.000000	50	0.000000	0.000000	0.000000	0	0	0	
11515	1029	0.220000	12.130000	10.220000	1.060000	0.720000	80.000000	48.000000	122	0.000000	0.000000	0.000000	0	0	0	
11718	1084	0.220000	11.980000	10.000000	1.050000	0.720000	80.000000	48.000000	120	0.000000	0.000000	0.000000	0	0	0	
11906	1099	0.220000	11.660000	9.670000	1.060000	0.690000	80.000000	48.000000	68	0.000000	0.000000	0.000000	0	0	0	
12093	1111	0.220000	10.630000	8.060000	1.060000	0.650000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
12281	1088	0.220000	10.430000	7.880000	1.060000	0.640000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
12484	1182	0.220000	10.100000	7.620000	1.060000	0.600000	80.000000	48.000000	72	0.000000	0.000000	0.000000	0	0	0	
12672	1239	0.220000	9.890000	7.450000	1.070000	0.580000	80.000000	48.000000	105	0.000000	0.000000	0.000000	0	0	0	
12859	1310	0.220000	9.770000	7.340000	1.050000	0.570000	80.000000	48.000000	104	0.000000	0.000000	0.000000	0	0	0	
13047	1379	0.220000	9.340000	6.980000	1.060000	0.560000	80.000000	48.000000	105	0.000000	0.000000	0.000000	0	0	0	
13250	1462	0.220000	9.050000	6.730000	1.060000	0.530000	80.000000	48.000000	12	0.000000	0.000000	0.000000	0	0	0	
13437	1505	0.220000	9.520000	7.060000	1.040000	0.570000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
13625	1581	0.220000	8.740000	6.480000	1.060000	0.530000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
13812	1520	0.220000	7.890000	5.710000	1.110000	0.440000	80.000000	48.000000	71	0.000000	0.000000	0.000000	0	0	0	
14093	1188	0.220000	7.890000	5.710000	1.160000	0.380000	80.000000	48.000000	54	0.000000	0.000000	0.000000	0	0	0	
14437	1055	0.220000	7.290000	5.170000	1.060000	0.410000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
14656	1107	0.220000	7.170000	5.110000	1.070000	0.390000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
14875	1125	0.220000	6.930000	4.870000	1.070000	0.380000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
15078	1074	0.220000	6.510000	4.540000	1.070000	0.370000	80.000000	48.000000	10	0.000000	0.000000	0.000000	0	0	0	
15328	915	0.220000	2.410000	0.920000	1.050000	0.440000	80.000000	48.000000	13	0.000000	0.000000	0.000000	0	0	0	
15531	940	0.220000	8.700000	0.870000	1.060000	0.530000	80.000000	48.000000	10	0.000000	0.000000	0.000000	0	0	0	
15843	943	0.220000	10.280000	7.780000	1.070000	0.590000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
16109	966	0.220000	10.610000	8.010000	1.060000	0.590000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
16359	989	0.220000	10.330000	7.820000	1.060000	0.580000	80.000000	48.000000	54	0.000000	0.000000	0.000000	0	0	0	
16609	1015	0.220000	9.850000	7.420000	1.050000	0.570000	80.000000	48.000000	54	0.000000	0.000000	0.000000	0	0	0	
16843	1041	0.220000	9.210000	6.970000	1.070000	0.570000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
17125	1084	0.220000	9.300000	6.990000	1.070000	0.550000	80.000000	48.000000	0	0.000000	0.000000	0.000000	0	0	0	
